Artist,Release Title,Year,ID,Format,Resource URL,Stats,Thumb
Instant Funk,Bodyshine / Scream And Shout,1980,2783580,"7, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/2783580,"{'community': {'in_wantlist': 40, 'in_collection': 9}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/eH4JXq66mtjremeb7Y0NLVF6KWeJjg1ULy4pk2LDh-o/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI3ODM1/ODAtMTM1NDkwOTQ0/NC04Njk5LmpwZWc.jpeg
Instant Funk,Bodyshine / Scream And Shout,1980,5550104,"7, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/5550104,"{'community': {'in_wantlist': 44, 'in_collection': 39}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/Zwz23sQChXqndCBHyqrGa4-ySEQ9L95vfheUDxhWaRg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU1NTAx/MDQtMTM5NjI4NDQ1/Ni05MjQ0LmpwZWc.jpeg
Instant Funk,Bodyshine / Scream And Shout,1980,11379098,"7, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/11379098,"{'community': {'in_wantlist': 19, 'in_collection': 14}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/SuTwjCsqp2rDP9Nd_l1GUlAfv4uYHY5ddBFSK9aEIVI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExMzc5/MDk4LTE1MTUyNTky/MjktODIzMC5qcGVn.jpeg
Skyy,High / Who's Gonna Love Me,1980,1724131,"7, """,https://api.discogs.com/releases/1724131,"{'community': {'in_wantlist': 86, 'in_collection': 24}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/X1c4dabcqGTWL055aRG8LvkJYtVMTGzULFsYDHMeID4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3MjQx/MzEtMTY5NjM2ODUx/MC0xNDgzLmpwZWc.jpeg
Instant Funk,Slap-Slap-Lickedy Lap,1979,6692076,"7, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/6692076,"{'community': {'in_wantlist': 29, 'in_collection': 14}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/cmwCHdn06iexxFKduZq-tZ9HEsqZ1Dj4jeWhhwDuK7w/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY2OTIw/NzYtMTQ4OTM2MDEx/OS02MTgxLmpwZWc.jpeg
Skyy,Skyyzoo ,1980,10342764,"7, "", ,,  , P, r, o, m, o, ,,  , W, /, L, b, l",https://api.discogs.com/releases/10342764,"{'community': {'in_wantlist': 21, 'in_collection': 6}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",
Joe Bataan And His Mestizo Band*,Sadie (She Smokes),1980,4693673,"7, """,https://api.discogs.com/releases/4693673,"{'community': {'in_wantlist': 74, 'in_collection': 22}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/xd0xlaObNqc0O2Womu9p0mmh3W1lEZlb3Jv-KEvlPjA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ2OTM2/NzMtMTM3MjQ0ODYw/NC0zMzIzLmpwZWc.jpeg
Skyy,Here's To You,1980,10276033,"7, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/10276033,"{'community': {'in_wantlist': 108, 'in_collection': 24}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/iMRCt4oQuTfQdIc4G839JmJFhYkqNmJZ42d4ClC624o/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMjc2/MDMzLTE1MzQ1Njcy/NjEtMzQ4My5qcGVn.jpeg
Bumble Bee Unltd.*,The Bumble Bee Rap,1981,6178328,"7, """,https://api.discogs.com/releases/6178328,"{'community': {'in_wantlist': 28, 'in_collection': 18}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/v8ttmcaOCpU8-_1kRU974Fy5LqSj4k6IRr95ZKapWKo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYxNzgz/MjgtMTQzODcxMDA3/MC00MzU3LmpwZWc.jpeg
Edwin Birdsong,Rapper Dapper Snapper,1980,3518795,"7, """,https://api.discogs.com/releases/3518795,"{'community': {'in_wantlist': 219, 'in_collection': 34}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/LxFhG95slVZkOB5QImDMEt7KN0HAi8lJSBaRUm2pGAs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1MTg3/OTUtMTQzODczMDky/OC0xNzI3LmpwZWc.jpeg
Sharon Bailey,Cosmic Dust,1981,867076,"7, """,https://api.discogs.com/releases/867076,"{'community': {'in_wantlist': 79, 'in_collection': 48}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/z5ojBT5JZpx604qk2xJt7hZGKZMYYJNh19ys5c3r9yg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg2NzA3/Ni0xMTg0Njk2MjI4/LmpwZWc.jpeg
Hambone (2),This Masquerade,1981,8033375,"7, "", ,,  , M, o, n, o, ,,  , P, r, o, m, o, ,,  , S, t, y, r, e, n, e",https://api.discogs.com/releases/8033375,"{'community': {'in_wantlist': 14, 'in_collection': 7}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/KVB_jSsV6Amp17I5Ow0XCEVHZjXEW1B9hMyUZ5ROB18/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTgwMzMz/NzUtMTYwOTI2OTI0/My0zNDkyLmpwZWc.jpeg
Keni Rightout,Right Now (I Really Feel I Can Change Your Mind),1981,11435589,"7, """,https://api.discogs.com/releases/11435589,"{'community': {'in_wantlist': 20, 'in_collection': 0}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/FyCSt78wam1w45r1TLz7H80XONtv0V21zh0Iif0s3K0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExNDM1/NTg5LTE2NzQ5MTY4/NzktNzc1Ny5qcGVn.jpeg
Keni Rightout,Right Now (I Really Feel I Can Change Your Mind),1981,4090102,"7, "", ,,  , S, i, n, g, l, e, ,,  , M, o, n, o, ,,  , P, r, o, m, o, ,,  , S, t, y, r, e, n, e",https://api.discogs.com/releases/4090102,"{'community': {'in_wantlist': 22, 'in_collection': 10}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/Ac2M7A0ozvKp_w1edH8YcAG_jrVVnRO2CRQ0yQ-GDDQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwOTAx/MDItMTQzOTk2MzUx/NS04NDQ3LmpwZWc.jpeg
Inner Life,(Knock Out) Let's Go Another Round / Live It Up,1981,6467049,"7, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/6467049,"{'community': {'in_wantlist': 67, 'in_collection': 9}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/Aj9Ig2eivjDyHYyFox-tvoE5Eaa9FdDGa-QPHBkAIu8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY0Njcw/NDktMTQxOTk0Nzg2/OS00MTY3LmpwZWc.jpeg
The Salsoul Orchestra,Take Some Time Out For Love,1982,8197231,"7, """,https://api.discogs.com/releases/8197231,"{'community': {'in_wantlist': 56, 'in_collection': 21}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/RDdcSij9UjIDTFWXFHWN4uZ2uWngf1kejAqeUe6CQfY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTgxOTcy/MzEtMTQ1Njk1MzQy/Mi04MTQ3LmpwZWc.jpeg
The Twins (6),In The Year 2525,1982,28604038,"7, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/28604038,"{'community': {'in_wantlist': 0, 'in_collection': 0}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",
Sly Cabell,Feelin' Fine,1982,9529727,"7, """,https://api.discogs.com/releases/9529727,"{'community': {'in_wantlist': 33, 'in_collection': 9}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/7ShBzbkxLQPKS6Hbi2o9AeCBgDGalN2TuYZDZ3bFkro/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk1Mjk3/MjctMTU2ODcwNjU2/Mi05NDI3LmpwZWc.jpeg
The Lovers (10),Lip Service,1982,4000068,"7, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/4000068,"{'community': {'in_wantlist': 27, 'in_collection': 10}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/fEb3PV0r27opxUBom4VS3sTpEqQIkgKlGcZzWxrL-GE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwMDAw/NjgtMTU0ODE2MDU1/Ny00Mjk4LmpwZWc.jpeg
The Lovers (10),Lip Service,1982,4089235,"7, "", ,,  , S, i, n, g, l, e, ,,  , M, o, n, o, ,,  , P, r, o, m, o",https://api.discogs.com/releases/4089235,"{'community': {'in_wantlist': 25, 'in_collection': 10}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/uhHccZ0d2yFa5ekx8JRDvE0gs51t8BE6M5k2mfgM20c/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwODky/MzUtMTM1NDg3Njc0/Ni04NTc3LmpwZWc.jpeg
Skyy,Movin' Violation,1982,1982626,"7, """,https://api.discogs.com/releases/1982626,"{'community': {'in_wantlist': 10, 'in_collection': 44}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/U4V3K5H0f7naY38kiXnN--m82LKlcPpKpGcLfX4XawQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5ODI2/MjYtMTM3MDg1NTA1/OC0xNzk1LmpwZWc.jpeg
Aurra,Such A Feeling ,1982,9521914,"7, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/9521914,"{'community': {'in_wantlist': 61, 'in_collection': 10}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/whaw62HiUKyW4z2PFiC9bQo5I-EdgefTUMEbf5Qq9sU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk1MjE5/MTQtMTY0NjU0MzIw/OC0zMjYwLmpwZWc.jpeg
Randy Fredrix,The Hunter,1983,12932292,"7, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/12932292,"{'community': {'in_wantlist': 4, 'in_collection': 2}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",
Skyy,Dancin' To Be Dancin',1984,6331596,"7, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/6331596,"{'community': {'in_wantlist': 9, 'in_collection': 5}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/-D7HZXyc2JnYD4V54WVPr_-MzZ6jASa6klGoDurC44A/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYzMzE1/OTYtMTQxNjY2NTU3/MC04MTI5LmpwZWc.jpeg
Skyy,Bad Boy,0,3179074,"7, """,https://api.discogs.com/releases/3179074,"{'community': {'in_wantlist': 7, 'in_collection': 6}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/rg9aknZX6R8mctes5H1kBmDLaXGn_iVNgvkZ8k4Vbp4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMxNzkw/NzQtMTMxOTMwMjU2/Ni5qcGVn.jpeg
Rafael Cameron,Shake It Down,1982,4005569,"7, "", ,,  , P, r, o, m, o",https://api.discogs.com/releases/4005569,"{'community': {'in_wantlist': 6, 'in_collection': 5}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/llrq8MSlTTuuvV-JKkcPzkCCaXzoZsKZr1g2sxjPBjI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwMDU1/NjktMTQ5NDg0OTE1/OC01NTMwLmpwZWc.jpeg
Kid Seville,Do You Have A Car?,1984,29506624,"7, """,https://api.discogs.com/releases/29506624,"{'community': {'in_wantlist': 3, 'in_collection': 0}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/2jCVcH3TxapLIqnhtb9lYZy5Z8LQYyDumaAK9WFvnfc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5NTA2/NjI0LTE3MDU0Mjc3/NjMtNDkyMy5qcGVn.jpeg
The Salsoul Orchestra,Up The Yellow Brick Road,1978,7123832,"8, -, T, r, k, ,,  , A, l, b, u, m",https://api.discogs.com/releases/7123832,"{'community': {'in_wantlist': 16, 'in_collection': 2}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/e4wUEApdW5etPhJwmyWShkP6bjqxeuXYagySM5hLe-s/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTcxMjM4/MzItMTQzNDI0Njk5/Mi03MTkyLmpwZWc.jpeg
The Salsoul Orchestra,How High,1979,4314209,"8, -, T, r, k, ,,  , A, l, b, u, m",https://api.discogs.com/releases/4314209,"{'community': {'in_wantlist': 48, 'in_collection': 2}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",
Rafael Comeron,Cameron’s In Love,1981,15327307,"8, -, T, r, k, ,,  , A, l, b, u, m",https://api.discogs.com/releases/15327307,"{'community': {'in_wantlist': 0, 'in_collection': 1}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/mqYLWsVz14n1RLE2yYmAh5J8BEEZwBVi_2IKScGDFqk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MzI3/MzA3LTE1ODk3OTU2/MDYtMzYyNC5qcGVn.jpeg
Skyy,Skyy Line,1981,11871566,"8, -, T, r, k, ,,  , A, l, b, u, m",https://api.discogs.com/releases/11871566,"{'community': {'in_wantlist': 33, 'in_collection': 7}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/KaYOmiYeeaxNFZR7hN1a9SGk80Q4GPwVhCIu7PYbq3k/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExODcx/NTY2LTE1MjM4NDMy/MDYtOTkzMS5qcGVn.jpeg
The Salsoul Orchestra,Greatest Disco Hits - Music For Non-Stop Dancing,1978,18226222,"8, -, T, r, k, ,,  , C, o, m, p, ,,  , C, l, u, b, ,,  , M, i, x, e, d",https://api.discogs.com/releases/18226222,"{'community': {'in_wantlist': 5, 'in_collection': 4}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/sXZJtpTN2TnJLOpjyGO3sE85XiVAenq-3JU2xNlUG_0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE4MjI2/MjIyLTE2MTk0ODEx/OTUtNzQ3My5qcGVn.jpeg
Instant Funk,Instant Funk,1979,5372060,"8, -, T, r, k, ,,  , A, l, b, u, m",https://api.discogs.com/releases/5372060,"{'community': {'in_wantlist': 68, 'in_collection': 7}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/uoBZvMly792ZULGsm7WmsHGQAsYILbmAoCAtQD8l0x0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUzNzIw/NjAtMTM5MTkwOTc0/NS01NTMxLnBuZw.jpeg
Instant Funk,Witch Doctor,1979,4826230,"8, -, T, r, k",https://api.discogs.com/releases/4826230,"{'community': {'in_wantlist': 37, 'in_collection': 4}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/s58ln5DhjxyRSY4QP9hUntvnKYhWkSDqcv4HeCE1tDk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ4MjYy/MzAtMTY4NjgzNjM5/MC03NDg0LmpwZWc.jpeg
Skyy,Skyyport,1980,23105516,"8, -, T, r, k, ,,  , A, l, b, u, m",https://api.discogs.com/releases/23105516,"{'community': {'in_wantlist': 7, 'in_collection': 1}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/5e_4DHa1Vp45c3gSmTYp83XSN1AVrIjG4W4k7wyTLho/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzMTA1/NTE2LTE2NTE2NDcw/NjgtMjI2MS5qcGVn.jpeg
Bebu Silvetti,World Without Words,1976,15552397,"8, -, T, r, k, ,,  , A, l, b, u, m, ,,  , B, r, o",https://api.discogs.com/releases/15552397,"{'community': {'in_wantlist': 7, 'in_collection': 1}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/tIpDcgt_kLE3DW7VwrEmf-djVrbMmI9sKT2Xsp2lQB4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1NTUy/Mzk3LTE1OTM0OTE5/NjAtMzA1My5qcGVn.jpeg
Double Exposure,Ten Percent,1976,27084072,"8, -, T, r, k, ,,  , A, l, b, u, m, ,,  , D, o, l",https://api.discogs.com/releases/27084072,"{'community': {'in_wantlist': 8, 'in_collection': 0}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/EqmUGza7P2tKvBVdSgyQ61IEXbTqIBbELwSu4sKbvnY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI3MDg0/MDcyLTE2ODQxNDkz/OTUtNTI1MC5qcGVn.jpeg
The Salsoul Orchestra,Christmas Jollies,1976,12489032,"8, -, T, r, k, ,,  , A, l, b, u, m, ,,  , D, o, l",https://api.discogs.com/releases/12489032,"{'community': {'in_wantlist': 19, 'in_collection': 1}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/zLilb6iMQbOrBe-6Ol9ontWzu-UkddewyqCEPwCz2Lg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNDg5/MDMyLTE1MzY0NjEw/MDItNTg3MC5qcGVn.jpeg
The Salsoul Orchestra,Magic Journey,1977,12795914,"8, -, T, r, k, ,,  , A, l, b, u, m, ,,  , D, o, l",https://api.discogs.com/releases/12795914,"{'community': {'in_wantlist': 26, 'in_collection': 5}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/sAt9AC6UJHpZlzCIzE2siMKaEB8I6nawSlMSUiYLz3w/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNzk1/OTE0LTE1NDIxMjA2/MjktNjg5Ny5qcGVn.jpeg
Charo And The Salsoul Orchestra,Cuchi-Cuchi,1977,27243492,"8, -, T, r, k, ,,  , A, l, b, u, m, ,,  , B, l, a",https://api.discogs.com/releases/27243492,"{'community': {'in_wantlist': 6, 'in_collection': 0}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/Um0h9vE8TuTRVGs3Nub8E8-bCF8CXgU3JBDdoJKxPS8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI3MjQz/NDkyLTE2ODU1Mjgy/NDctNjY2OS5qcGVn.jpeg
